show_id,title,movie_duration(min),tv_show_duration(temp)
s588,Quarantine Tales,,1.0
s589,Rainbow Rangers,,1.0
s590,Red Joan,101.0,
s591,Sailor Moon Crystal,,3.0
s592,Seven Pounds,123.0,
s593,She's Out of My League,106.0,
s594,Snow Day,89.0,
s595,Star Trek,128.0,
s596,Stuart Little,85.0,
s597,Sword of Trust,89.0,
s598,Talladega Nights: The Ballad of Ricky Bobby,108.0,
s599,The American,105.0,
s600,The Best of Enemies,133.0,
s601,The Game,129.0,
s602,The Karate Kid,127.0,
s603,The Karate Kid Part II,113.0,
s604,The Karate Kid Part III,112.0,
s605,The Life of David Gale,130.0,
s606,The Long Riders,100.0,
s607,The Queen,103.0,
s608,The Strangers,85.0,
s609,The Sum of All Fears,124.0,
s610,The Tourist,103.0,
s611,Underworld,121.0,
s612,Underworld: Awakening,89.0,
s613,Underworld: Rise of the Lycans,92.0,
s614,Voiceless,112.0,
s615,What Dreams May Come,114.0,
s616,Why Do Fools Fall in Love,116.0,
s617,Working Title,110.0,
s618,Young Royals,,1.0
s619,America: The Motion Picture,98.0,
s620,Deranged,98.0,
s621,Droppin' Cash: Los Angeles,,1.0
s622,Legend of Exorcism,,1.0
s623,Lying and Stealing,100.0,
s624,Mommy Issues,90.0,
s625,Prime Time,92.0,
s626,Somos.,,1.0
s627,Sophie: A Murder in West Cork,,1.0
s628,The Daily Life of the Immortal King,,1.0
s629,StarBeam,,4.0
s630,A Way Back Home,82.0,
s631,Killing Them Softly,97.0,
s632,The Seven Deadly Sins,,5.0
s633,Wanted,90.0,
s634,Into the Wind,76.0,
s635,Wonder Boy,83.0,
s636,Here Comes the Rain,101.0,
s637,The Ice Road,109.0,
s638,Ray,,1.0
s639,Sex/Life,,1.0
s640,Godzilla Singular Point,,1.0
s641,Jiva!,,1.0
s642,Sisters on Track,97.0,
s643,The Naked Director,,2.0
s644,The Seventh Day,87.0,
s645,Good on Paper,94.0,
s646,Murder by the Coast,89.0,
s647,The House of Flowers: The Movie,88.0,
s648,The Parisian Agency: Exclusive Properties,,1.0
s649,Too Hot to Handle,,2.0
s650,Broken,108.0,
s651,O Vendedor de Sonhos,96.0,
s652,Osuofia in London,84.0,
s653,Osuofia in London II,70.0,
s654,This Is Pop,,1.0
s655,#Selfie,125.0,
s656,#Selfie 69,119.0,
s657,Love Is a Story,105.0,
s658,The Mole,,2.0
s659,"Nevertheless,",,1.0
s660,Bangkok Love Stories: Innocence,,1.0
s661,Black Lightning,,4.0
s662,Call My Agent!,,4.0
s663,Champions,,1.0
s664,Charité at War,,1.0
s665,Cleo & Cuquin,,2.0
s666,Deadwind,,2.0
s667,Gameboys Level-Up Edition,,1.0
s668,Glee,,6.0
s669,Hap and Leonard,,3.0
s670,Locked Up,,5.0
s671,Mobile Suit Gundam II: Soldiers of Sorrow,133.0,
s672,Mobile Suit Gundam III: Encounters in Space,140.0,
s673,Mobile Suit Gundam: Char's Counterattack,120.0,
s674,No Time for Shame,,1.0
s675,Pose,,2.0
s676,REA(L)OVE,,1.0
s677,Riverdale,,4.0
s678,Schitt's Creek,,6.0
s679,The Assassination of Gianni Versace,,1.0
s680,The Judgement,,1.0
s681,The Last Dance,,1.0
s682,They've Gotta Have Us,,1.0
s683,Why Are You Like This,,1.0
s684,A Family,135.0,
s685,Elite,,4.0
s686,Fatherhood,111.0,
s687,Hospital Playlist,,2.0
s688,Jagame Thandhiram,159.0,
s689,Kambili: The Whole 30 Yards,119.0,
s690,Mobile Suit Gundam I,139.0,
s691,Rurouni Kenshin: The Final,137.0,
s692,So Not Worth It,,1.0
s693,The Rational Life,,1.0
s694,Ali & Ratu Ratu Queens,101.0,
s695,Aziza,13.0,
s696,Besieged Bread,12.0,
s697,Black Summer,,2.0
s698,Elite Short Stories: Carla Samuel,,1.0
s699,Fan Girl,101.0,
s700,Katla,,1.0
s701,Record of Ragnarok,,1.0
s702,Red Snow,96.0,
s703,Silver Linings Playbook,122.0,
s704,The Gift,,3.0
s705,A Man For The Week End,95.0,
s706,Biking Borders,89.0,
s707,Elite Short Stories: Omar Ander Alexis,,1.0
s708,Let's Eat,,1.0
s709,Lowriders,98.0,
s710,Millennials,,3.0
s711,Penguin Town,,1.0
s712,Security,119.0,
s713,Silver Skates,138.0,
s714,Avengers Climate Conundrum,,1.0
s715,Beyond Evil,,1.0
s716,Elite Short Stories: Nadia Guzmán,,1.0
s717,FTA,104.0,
s718,Headspace: Unwind Your Mind,273.0,
s719,Life of Crime,101.0,
s720,Power Rangers Dino Fury,,1.0
s721,Rhyme Time Town,,2.0
s722,Rogue Warfare: Death of a Nation,99.0,
s723,Sir! No Sir!,84.0,
s724,The American Bible Challenge,,1.0
s725,The Reason I Jump,82.0,
s726,Elite Short Stories: Guzmán Caye Rebe,,1.0
